START
ROOM12 frame=522 fc=466
f=1622 fc=1566 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1632 fc=1576 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1642 fc=1586 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1652 fc=1596 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1662 fc=1606 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1672 fc=1616 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1682 fc=1626 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1692 fc=1636 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1702 fc=1646 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1712 fc=1656 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1722 fc=1666 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1732 fc=1676 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1742 fc=1686 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
