RUNNING
TRACE frame=664 fc=611 room=1 a=false x=8 y=96 same=0
TRACE frame=665 fc=612 room=1 a=false x=8 y=96 same=0
TRACE frame=666 fc=613 room=1 a=false x=8 y=96 same=0
TRACE frame=667 fc=614 room=1 a=false x=8 y=96 same=0
TRACE frame=668 fc=615 room=1 a=false x=8 y=96 same=0
TRACE frame=669 fc=616 room=1 a=false x=8 y=96 same=0
TRACE frame=670 fc=617 room=1 a=false x=8 y=96 same=0
TRACE frame=671 fc=618 room=1 a=false x=8 y=96 same=0
TRACE frame=672 fc=619 room=1 a=false x=8 y=96 same=0
TRACE frame=673 fc=620 room=1 a=false x=8 y=96 same=0
TRACE frame=674 fc=621 room=1 a=false x=8 y=96 same=0
TRACE frame=675 fc=622 room=1 a=false x=8 y=96 same=0
TRACE frame=676 fc=623 room=1 a=false x=8 y=96 same=0
TRACE frame=677 fc=624 room=1 a=false x=8 y=96 same=0
TRACE frame=678 fc=625 room=1 a=false x=8 y=96 same=0
TRACE frame=679 fc=626 room=1 a=false x=8 y=96 same=0
TRACE frame=680 fc=627 room=1 a=false x=8 y=96 same=0
TRACE frame=681 fc=628 room=1 a=false x=8 y=96 same=0
TRACE frame=682 fc=629 room=1 a=false x=8 y=96 same=0
TRACE frame=683 fc=630 room=1 a=false x=8 y=96 same=0
TRACE frame=684 fc=631 room=1 a=false x=8 y=96 same=0
TRACE frame=685 fc=632 room=1 a=false x=8 y=96 same=0
TRACE frame=686 fc=633 room=1 a=false x=8 y=96 same=0
TRACE frame=687 fc=634 room=1 a=false x=8 y=96 same=0
TRACE frame=688 fc=635 room=1 a=false x=8 y=96 same=0
TRACE frame=689 fc=636 room=1 a=false x=8 y=96 same=0
TRACE frame=690 fc=637 room=1 a=false x=8 y=96 same=0
TRACE frame=691 fc=638 room=1 a=false x=8 y=96 same=0
TRACE frame=692 fc=639 room=1 a=false x=8 y=96 same=0
TRACE frame=693 fc=640 room=1 a=false x=8 y=96 same=0
TRACE frame=694 fc=641 room=1 a=false x=8 y=96 same=0
TRACE frame=695 fc=642 room=1 a=false x=8 y=96 same=0
TRACE frame=696 fc=643 room=1 a=false x=8 y=96 same=0
TRACE frame=697 fc=644 room=1 a=false x=8 y=96 same=0
TRACE frame=698 fc=645 room=1 a=false x=8 y=96 same=0
TRACE frame=699 fc=646 room=1 a=false x=8 y=96 same=0
TRACE frame=700 fc=647 room=1 a=false x=8 y=96 same=0
TRACE frame=701 fc=648 room=1 a=false x=8 y=96 same=0
TRACE frame=702 fc=649 room=1 a=false x=8 y=96 same=0
TRACE frame=703 fc=650 room=1 a=false x=8 y=96 same=0
TRACE frame=704 fc=651 room=1 a=false x=8 y=96 same=0
TRACE frame=705 fc=652 room=1 a=false x=8 y=96 same=0
TRACE frame=706 fc=653 room=1 a=false x=8 y=96 same=0
TRACE frame=707 fc=654 room=1 a=false x=8 y=96 same=0
